industry,senator
Package Goods/Cosmetics,David Perdue
Major Banks,David Perdue
Semiconductors,David Perdue
Major Pharmaceuticals,David Perdue
Computer Software: Prepackaged Software,David Perdue
Business Services,David Perdue
Farming/Seeds/Milling,David Perdue
Shoe Manufacturing,David Perdue
Railroads,David Perdue
Investment Managers,Roger F. Wicker
Semiconductors,Ron Wyden
Services-Misc. Amusement & Recreation,Ron Wyden
Auto Manufacturing,Ron Wyden
"Computer Software: Programming, Data Processing",Ron Wyden
Electronic Components,Ron Wyden
Restaurants,Ron Wyden
Telecommunications Equipment,Ron Wyden
Mining & Quarrying of Nonmetallic Minerals (No Fuels),Ron Wyden
Catalog/Specialty Distribution,Ron Wyden
Electronic Components,Ron Wyden
Other Consumer Services,Ron Wyden
Major Banks,Ron Wyden
Computer Software: Prepackaged Software,Ron Wyden
Business Services,Ron Wyden
Computer Software: Prepackaged Software,Ron Wyden
Semiconductors,Ron Wyden
Catalog/Specialty Distribution,Ron Wyden
Trucking Freight/Courier Services,Ron Wyden
"Computer Software: Programming, Data Processing",Ron Wyden
Restaurants,Ron Wyden
"Computer Software: Programming, Data Processing",Ron Wyden
Restaurants,Ron Wyden
Telecommunications Equipment,Ron Wyden
Computer Communications Equipment,Ron Wyden
Semiconductors,Ron Wyden
Electronic Components,Ron Wyden
Semiconductors,Ron Wyden
Integrated oil Companies,Ron Wyden
Business Services,Ron Wyden
Construction/Ag Equipment/Trucks,Ron Wyden
Catalog/Specialty Distribution,Ron Wyden
Services-Misc. Amusement & Recreation,Ron Wyden
Business Services,Thomas R. Carper
Medical/Nursing Services,Thomas R. Carper
Semiconductors,Thomas R. Carper
Services-Misc. Amusement & Recreation,Thomas R. Carper
Restaurants,Thomas R. Carper
Radio And Television Broadcasting And Communications Equipment,Thomas R. Carper
Medical/Dental Instruments,Thomas R. Carper
Restaurants,Thomas R. Carper
Finance/Investors Services,Thomas R. Carper
Medical/Nursing Services,Thomas R. Carper
Medical Specialities,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Containers/Packaging,Thomas R. Carper
Life Insurance,Thomas R. Carper
Finance/Investors Services,Thomas R. Carper
Semiconductors,Thomas R. Carper
Major Banks,Thomas R. Carper
Integrated oil Companies,Thomas R. Carper
Trucking Freight/Courier Services,Thomas R. Carper
Property-Casualty Insurers,Thomas R. Carper
Real Estate Investment Trusts,Thomas R. Carper
Computer Manufacturing,Thomas R. Carper
Industrial Machinery/Components,Thomas R. Carper
Investment Managers,Thomas R. Carper
Packaged Foods,Thomas R. Carper
Telecommunications Equipment,Thomas R. Carper
Major Banks,Thomas R. Carper
Computer Software: Prepackaged Software,Thomas R. Carper
Major Pharmaceuticals,Thomas R. Carper
Beverages (Production/Distribution),Thomas R. Carper
Meat/Poultry/Fish,Thomas R. Carper
Consumer Electronics/Video Chains,Pat Roberts
Computer Manufacturing,Pat Roberts
Services-Misc. Amusement & Recreation,Pat Roberts
Clothing/Shoe/Accessory Stores,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Clothing/Shoe/Accessory Stores,Pat Roberts
Computer Software: Prepackaged Software,Pat Roberts
Business Services,Pat Roberts
Packaged Foods,Pat Roberts
Computer Software: Prepackaged Software,Pat Roberts
Computer Manufacturing,Pat Roberts
Semiconductors,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Computer Manufacturing,Pat Roberts
Catalog/Specialty Distribution,Pat Roberts
Catalog/Specialty Distribution,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Life Insurance,Kelly Loeffler
Construction/Ag Equipment/Trucks,Kelly Loeffler
Department/Specialty Retail Stores,Kelly Loeffler
Major Banks,Kelly Loeffler
Oilfield Services/Equipment,Kelly Loeffler
Packaged Foods,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Finance: Consumer Services,Kelly Loeffler
Package Goods/Cosmetics,Kelly Loeffler
Construction/Ag Equipment/Trucks,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Semiconductors,Kelly Loeffler
Major Banks,Kelly Loeffler
Life Insurance,Kelly Loeffler
Packaged Foods,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Finance: Consumer Services,Kelly Loeffler
Air Freight/Delivery Services,Kelly Loeffler
Medical/Nursing Services,Kelly Loeffler
Package Goods/Cosmetics,Kelly Loeffler
EDP Services,Kelly Loeffler
Computer Communications Equipment,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Farming/Seeds/Milling,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Industrial Machinery/Components,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Business Services,Kelly Loeffler
Telecommunications Equipment,Kelly Loeffler
Computer Software: Prepackaged Software,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Computer Manufacturing,Kelly Loeffler
Major Banks,Kelly Loeffler
Life Insurance,Kelly Loeffler
Computer Communications Equipment,Kelly Loeffler
Department/Specialty Retail Stores,Kelly Loeffler
Business Services,Kelly Loeffler
Natural Gas Distribution,Kelly Loeffler
Telecommunications Equipment,Kelly Loeffler
Packaged Foods,Kelly Loeffler
Air Freight/Delivery Services,Kelly Loeffler
RETAIL: Building Materials,Kelly Loeffler
Major Banks,Kelly Loeffler
Computer Software: Prepackaged Software,Kelly Loeffler
Computer Software: Prepackaged Software,Kelly Loeffler
Military/Government/Technical,Kelly Loeffler
Services-Misc. Amusement & Recreation,Kelly Loeffler
Biotechnology: Biological Products (No Diagnostic Substances),Kelly Loeffler
Major Banks,Kelly Loeffler
Beverages (Production/Distribution),Kelly Loeffler
Catalog/Specialty Distribution,Kelly Loeffler
Major Banks,Kelly Loeffler
Computer Software: Prepackaged Software,Kelly Loeffler
Department/Specialty Retail Stores,Kelly Loeffler
Department/Specialty Retail Stores,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Business Services,Kelly Loeffler
Electronic Components,Kelly Loeffler
Mining & Quarrying of Nonmetallic Minerals (No Fuels),Kelly Loeffler
Package Goods/Cosmetics,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Clothing/Shoe/Accessory Stores,Kelly Loeffler
Aerospace,Kelly Loeffler
Life Insurance,Kelly Loeffler
Life Insurance,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Package Goods/Cosmetics,Kelly Loeffler
Computer peripheral equipment,Kelly Loeffler
Biotechnology: Pharmaceutical Preparations,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Beverages (Production/Distribution),Kelly Loeffler
Packaged Foods,Kelly Loeffler
Packaged Foods,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Industrial Machinery/Components,Kelly Loeffler
Consumer Electronics/Appliances,Kelly Loeffler
Consumer Electronics/Appliances,Kelly Loeffler
Consumer Electronics/Appliances,Kelly Loeffler
Services-Misc. Amusement & Recreation,Kelly Loeffler
Finance: Consumer Services,Kelly Loeffler
Finance: Consumer Services,Kelly Loeffler
Air Freight/Delivery Services,Kelly Loeffler
Air Freight/Delivery Services,Kelly Loeffler
Air Freight/Delivery Services,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Medical/Nursing Services,Kelly Loeffler
EDP Services,Kelly Loeffler
EDP Services,Kelly Loeffler
Computer Communications Equipment,Kelly Loeffler
Computer Communications Equipment,Kelly Loeffler
Metal Fabrications,Kelly Loeffler
Metal Fabrications,Kelly Loeffler
Metal Fabrications,Kelly Loeffler
Television Services,Kelly Loeffler
Television Services,Kelly Loeffler
Package Goods/Cosmetics,Kelly Loeffler
Construction/Ag Equipment/Trucks,Kelly Loeffler
Construction/Ag Equipment/Trucks,Kelly Loeffler
Other Pharmaceuticals,Kelly Loeffler
Other Pharmaceuticals,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Business Services,Kelly Loeffler
Biotechnology: Biological Products (No Diagnostic Substances),Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Accident &Health Insurance,Kelly Loeffler
Accident &Health Insurance,Kelly Loeffler
Packaged Foods,Kelly Loeffler
Packaged Foods,Kelly Loeffler
Packaged Foods,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Home Furnishings,Kelly Loeffler
"Computer Software: Programming, Data Processing",Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
EDP Services,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Department/Specialty Retail Stores,Kelly Loeffler
Department/Specialty Retail Stores,Kelly Loeffler
Business Services,Kelly Loeffler
Computer Software: Prepackaged Software,Kelly Loeffler
Aerospace,Kelly Loeffler
Real Estate Investment Trusts,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Electronic Components,Kelly Loeffler
Packaged Foods,Kelly Loeffler
Consumer Electronics/Appliances,Kelly Loeffler
Metal Fabrications,Kelly Loeffler
Computer Communications Equipment,Kelly Loeffler
Packaged Foods,Kelly Loeffler
Life Insurance,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Air Freight/Delivery Services,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Other Pharmaceuticals,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Packaged Foods,Kelly Loeffler
Life Insurance,Kelly Loeffler
Air Freight/Delivery Services,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Computer Communications Equipment,Kelly Loeffler
EDP Services,Kelly Loeffler
Business Services,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Department/Specialty Retail Stores,Kelly Loeffler
Military/Government/Technical,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Computer Software: Prepackaged Software,Kelly Loeffler
Military/Government/Technical,Kelly Loeffler
Major Banks,Shelley Moore Capito
Computer Software: Prepackaged Software,Shelley Moore Capito
Major Pharmaceuticals,Shelley Moore Capito
Major Pharmaceuticals,Shelley Moore Capito
Medical/Dental Instruments,Tina Smith
Medical/Dental Instruments,Tina Smith
Biotechnology: Laboratory Analytical Instruments,Sheldon Whitehouse
Industrial Machinery/Components,Sheldon Whitehouse
Paints/Coatings,Dan Sullivan
Building operators,James M. Inhofe
Major Banks,James M. Inhofe
Semiconductors,David Perdue
Major Pharmaceuticals,David Perdue
Newspapers/Magazines,David Perdue
Food Chains,David Perdue
Hotels/Resorts,David Perdue
Hotels/Resorts,David Perdue
Major Banks,David Perdue
Food Chains,David Perdue
Food Chains,David Perdue
Major Banks,David Perdue
Food Chains,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Auto Manufacturing,David Perdue
Food Chains,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Food Chains,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Major Banks,David Perdue
Industrial Machinery/Components,David Perdue
Department/Specialty Retail Stores,David Perdue
Newspapers/Magazines,David Perdue
Broadcasting,David Perdue
Metal Fabrications,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Food Chains,David Perdue
Food Chains,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Food Chains,David Perdue
Natural Gas Distribution,David Perdue
Food Chains,David Perdue
Paints/Coatings,David Perdue
Food Chains,David Perdue
Food Chains,David Perdue
Food Chains,David Perdue
Major Banks,David Perdue
Broadcasting,David Perdue
Services-Misc. Amusement & Recreation,David Perdue
Major Chemicals,David Perdue
Rental/Leasing Companies,David Perdue
Services-Misc. Amusement & Recreation,David Perdue
Paints/Coatings,David Perdue
Package Goods/Cosmetics,David Perdue
Beverages (Production/Distribution),David Perdue
Newspapers/Magazines,David Perdue
Major Banks,David Perdue
EDP Services,David Perdue
Food Distributors,David Perdue
Industrial Machinery/Components,David Perdue
Food Chains,David Perdue
Major Banks,David Perdue
Major Chemicals,David Perdue
Auto Manufacturing,David Perdue
Services-Misc. Amusement & Recreation,David Perdue
Food Chains,David Perdue
Food Chains,David Perdue
Major Banks,David Perdue
Food Chains,David Perdue
Rental/Leasing Companies,David Perdue
Advertising,David Perdue
Advertising,David Perdue
Services-Misc. Amusement & Recreation,David Perdue
Restaurants,David Perdue
Food Chains,David Perdue
"Computer Software: Programming, Data Processing",David Perdue
Food Chains,David Perdue
Specialty Chemicals,David Perdue
Food Distributors,David Perdue
Oil & Gas Production,David Perdue
Industrial Machinery/Components,David Perdue
Newspapers/Magazines,David Perdue
Oil & Gas Production,David Perdue
Food Chains,David Perdue
Department/Specialty Retail Stores,David Perdue
Major Banks,David Perdue
Restaurants,David Perdue
Major Banks,David Perdue
Restaurants,David Perdue
Apparel,David Perdue
Restaurants,David Perdue
Consumer Electronics/Video Chains,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Oil/Gas Transmission,David Perdue
Computer Software: Prepackaged Software,David Perdue
Broadcasting,David Perdue
Semiconductors,David Perdue
Containers/Packaging,David Perdue
Restaurants,David Perdue
Semiconductors,David Perdue
Containers/Packaging,David Perdue
Semiconductors,David Perdue
Semiconductors,David Perdue
Telecommunications Equipment,Thomas R. Carper
Services-Misc. Amusement & Recreation,Thomas R. Carper
Semiconductors,Thomas R. Carper
Medical/Nursing Services,Thomas R. Carper
Business Services,Thomas R. Carper
Telecommunications Equipment,Thomas R. Carper
Integrated oil Companies,Thomas R. Carper
Major Banks,Thomas R. Carper
Computer Communications Equipment,Thomas R. Carper
Major Pharmaceuticals,Thomas R. Carper
Major Banks,Thomas R. Carper
Packaged Foods,Kelly Loeffler
Business Services,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Computer Software: Prepackaged Software,Kelly Loeffler
Life Insurance,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Consumer Electronics/Appliances,Kelly Loeffler
Metal Fabrications,Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Biotechnology: Biological Products (No Diagnostic Substances),Kelly Loeffler
Property-Casualty Insurers,Kelly Loeffler
Computer peripheral equipment,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Transportation Services,Kelly Loeffler
Transportation Services,Kelly Loeffler
Home Furnishings,Kelly Loeffler
Transportation Services,Kelly Loeffler
Clothing/Shoe/Accessory Stores,Kelly Loeffler
Clothing/Shoe/Accessory Stores,Kelly Loeffler
Apparel,Kelly Loeffler
"Computer Software: Programming, Data Processing",Kelly Loeffler
Clothing/Shoe/Accessory Stores,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Semiconductors,Kelly Loeffler
Other Specialty Stores,Kelly Loeffler
EDP Services,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Catalog/Specialty Distribution,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Catalog/Specialty Distribution,Kelly Loeffler
Semiconductors,Kelly Loeffler
"Computer Software: Programming, Data Processing",Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Environmental Services,Sheldon Whitehouse
Real Estate Investment Trusts,Sheldon Whitehouse
Computer Software: Prepackaged Software,Pat Roberts
Computer Software: Prepackaged Software,Pat Roberts
Services-Misc. Amusement & Recreation,Pat Roberts
Integrated oil Companies,Pat Roberts
Integrated oil Companies,Pat Roberts
Aerospace,Pat Roberts
Department/Specialty Retail Stores,Pat Roberts
Computer Manufacturing,Pat Roberts
Business Services,Pat Roberts
Department/Specialty Retail Stores,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Semiconductors,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Computer Manufacturing,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Semiconductors,Pat Roberts
Computer Manufacturing,Pat Roberts
Computer Manufacturing,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Department/Specialty Retail Stores,Bill Cassidy
Investment Bankers/Brokers/Service,Bill Cassidy
Package Goods/Cosmetics,Bill Cassidy
Computer Software: Prepackaged Software,Bill Cassidy
Biotechnology: Electromedical & Electrotherapeutic Apparatus,Bill Cassidy
Consumer Electronics/Appliances,Bill Cassidy
Investment Bankers/Brokers/Service,Bill Cassidy
Computer Manufacturing,Bill Cassidy
Biotechnology: Biological Products (No Diagnostic Substances),Bill Cassidy
Telecommunications Equipment,Bill Cassidy
Apparel,Bill Cassidy
Integrated oil Companies,Bill Cassidy
Medical/Dental Instruments,Bill Cassidy
Major Pharmaceuticals,Bill Cassidy
Oilfield Services/Equipment,Jerry Moran
Integrated oil Companies,Jerry Moran
Building operators,James M. Inhofe
Industrial Machinery/Components,Jacky Rosen
Computer Software: Prepackaged Software,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Computer Software: Prepackaged Software,Kelly Loeffler
Recreational Games/Products/Toys,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Other Specialty Stores,Kelly Loeffler
Recreational Games/Products/Toys,Kelly Loeffler
Recreational Games/Products/Toys,Kelly Loeffler
Other Specialty Stores,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Television Services,Kelly Loeffler
Recreational Games/Products/Toys,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Television Services,Kelly Loeffler
Other Specialty Stores,Kelly Loeffler
Aerospace,Kelly Loeffler
Major Pharmaceuticals,Kelly Loeffler
Finance: Consumer Services,Kelly Loeffler
Air Freight/Delivery Services,Kelly Loeffler
Consumer Electronics/Appliances,Kelly Loeffler
Construction/Ag Equipment/Trucks,Kelly Loeffler
Accident &Health Insurance,Kelly Loeffler
Major Banks,Mitch Mcconnell
Department/Specialty Retail Stores,Pat Roberts
Semiconductors,Pat Roberts
Computer Software: Prepackaged Software,Pat Roberts
Investment Managers,Thomas R. Carper
Investment Managers,Thomas R. Carper
Auto Manufacturing,David Perdue
Major Pharmaceuticals,David Perdue
Oil & Gas Production,David Perdue
Major Pharmaceuticals,David Perdue
Major Pharmaceuticals,David Perdue
Hotels/Resorts,David Perdue
Hotels/Resorts,David Perdue
Major Pharmaceuticals,David Perdue
Air Freight/Delivery Services,David Perdue
Major Pharmaceuticals,David Perdue
Hotels/Resorts,David Perdue
Hotels/Resorts,David Perdue
Hotels/Resorts,David Perdue
Major Pharmaceuticals,David Perdue
Major Pharmaceuticals,David Perdue
Hotels/Resorts,David Perdue
Containers/Packaging,David Perdue
Hotels/Resorts,David Perdue
Major Pharmaceuticals,David Perdue
Telecommunications Equipment,David Perdue
Broadcasting,David Perdue
Telecommunications Equipment,David Perdue
Services-Misc. Amusement & Recreation,David Perdue
Hotels/Resorts,David Perdue
Computer peripheral equipment,David Perdue
Containers/Packaging,David Perdue
Air Freight/Delivery Services,David Perdue
Telecommunications Equipment,David Perdue
Broadcasting,David Perdue
Oil & Gas Production,David Perdue
Telecommunications Equipment,David Perdue
Telecommunications Equipment,David Perdue
Hotels/Resorts,David Perdue
Telecommunications Equipment,David Perdue
Broadcasting,David Perdue
Telecommunications Equipment,David Perdue
Hotels/Resorts,David Perdue
Broadcasting,David Perdue
Natural Gas Distribution,David Perdue
Telecommunications Equipment,David Perdue
Hotels/Resorts,David Perdue
Air Freight/Delivery Services,David Perdue
Telecommunications Equipment,David Perdue
Natural Gas Distribution,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Computer Manufacturing,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Oil/Gas Transmission,David Perdue
Major Chemicals,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Oil & Gas Production,David Perdue
Telecommunications Equipment,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Broadcasting,David Perdue
Telecommunications Equipment,David Perdue
Business Services,James M. Inhofe
Computer Software: Prepackaged Software,James M. Inhofe
Industrial Machinery/Components,James M. Inhofe
Building operators,James M. Inhofe
Computer Manufacturing,James M. Inhofe
Television Services,Kelly Loeffler
Computer Communications Equipment,Kelly Loeffler
Investment Bankers/Brokers/Service,Kelly Loeffler
Integrated oil Companies,Kelly Loeffler
Package Goods/Cosmetics,Kelly Loeffler
Life Insurance,Kelly Loeffler
Clothing/Shoe/Accessory Stores,Kelly Loeffler
Clothing/Shoe/Accessory Stores,Kelly Loeffler
Other Specialty Stores,Kelly Loeffler
Other Specialty Stores,Kelly Loeffler
Clothing/Shoe/Accessory Stores,Kelly Loeffler
Industrial Machinery/Components,Kelly Loeffler
Television Services,Kelly Loeffler
Finance: Consumer Services,Kelly Loeffler
Plastic Products,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Major Banks,David Perdue
Major Banks,David Perdue
Telecommunications Equipment,David Perdue
Paints/Coatings,David Perdue
Computer Manufacturing,David Perdue
Containers/Packaging,David Perdue
Major Banks,David Perdue
Advertising,David Perdue
Containers/Packaging,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Containers/Packaging,David Perdue
Plastic Products,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Computer Manufacturing,David Perdue
Plastic Products,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Computer peripheral equipment,David Perdue
Major Chemicals,David Perdue
Business Services,Pat Roberts
Department/Specialty Retail Stores,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Catalog/Specialty Distribution,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Business Services,Pat Roberts
Semiconductors,Pat Roberts
Catalog/Specialty Distribution,Pat Roberts
Finance Companies,Pat Roberts
Business Services,Pat Roberts
Consumer Electronics/Video Chains,Pat Roberts
Major Banks,Shelley Moore Capito
Package Goods/Cosmetics,James M. Inhofe
Other Consumer Services,James M. Inhofe
Broadcasting,David Perdue
Television Services,Shelley Moore Capito
Major Banks,Shelley Moore Capito
Major Banks,David Perdue
Plastic Products,David Perdue
Plastic Products,David Perdue
Major Chemicals,David Perdue
Professional Services,David Perdue
Natural Gas Distribution,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Air Freight/Delivery Services,David Perdue
Natural Gas Distribution,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Plastic Products,David Perdue
Oil/Gas Transmission,David Perdue
Oil Refining/Marketing,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Paper,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Natural Gas Distribution,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Natural Gas Distribution,David Perdue
Natural Gas Distribution,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Major Chemicals,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Oilfield Services/Equipment,John Hoeven
Integrated oil Companies,John Hoeven
Packaged Foods,John Hoeven
Electric Utilities: Central,Patrick J. Toomey
Apparel,Thomas R. Carper
Apparel,Thomas R. Carper
Integrated oil Companies,Thomas R. Carper
Computer Manufacturing,Sheldon Whitehouse
Packaged Foods,Roy Blunt
Packaged Foods,Roy Blunt
Major Banks,Gary C. Peters
Life Insurance,John Hoeven
Major Banks,Mitch Mcconnell
Consumer Electronics/Appliances,Patrick J. Toomey
Natural Gas Distribution,Patrick J. Toomey
Investment Bankers/Brokers/Service,Patrick J. Toomey
Investment Bankers/Brokers/Service,Patrick J. Toomey
Clothing/Shoe/Accessory Stores,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Clothing/Shoe/Accessory Stores,David Perdue
Natural Gas Distribution,David Perdue
Computer peripheral equipment,David Perdue
Major Chemicals,David Perdue
Plastic Products,David Perdue
Computer peripheral equipment,David Perdue
EDP Services,David Perdue
Containers/Packaging,David Perdue
Integrated oil Companies,David Perdue
Air Freight/Delivery Services,David Perdue
Oil & Gas Production,David Perdue
Major Banks,David Perdue
Air Freight/Delivery Services,David Perdue
Oil & Gas Production,David Perdue
Major Chemicals,David Perdue
Major Chemicals,David Perdue
Computer peripheral equipment,David Perdue
Restaurants,Thomas R. Carper
Farming/Seeds/Milling,Thomas R. Carper
Semiconductors,Thomas R. Carper
Restaurants,Thomas R. Carper
Oil & Gas Production,Ted Cruz
Business Services,Pat Roberts
Industrial Machinery/Components,Pat Roberts
Industrial Machinery/Components,Pat Roberts
Services-Misc. Amusement & Recreation,Pat Roberts
Investment Managers,John Hoeven
Integrated oil Companies,John Hoeven
Real Estate Investment Trusts,John Hoeven
Integrated oil Companies,John Hoeven
Power Generation,John Hoeven
Integrated oil Companies,John Hoeven
Computer Software: Prepackaged Software,Shelley Moore Capito
Paints/Coatings,Dan Sullivan
Major Chemicals,David Perdue
Consumer Electronics/Video Chains,David Perdue
Beverages (Production/Distribution),David Perdue
Computer Manufacturing,David Perdue
Computer Manufacturing,David Perdue
Major Chemicals,David Perdue
Services-Misc. Amusement & Recreation,David Perdue
Major Chemicals,David Perdue
Metal Fabrications,David Perdue
Computer Software: Prepackaged Software,David Perdue
Integrated oil Companies,David Perdue
Major Banks,David Perdue
Package Goods/Cosmetics,David Perdue
Services-Misc. Amusement & Recreation,David Perdue
Major Banks,David Perdue
Beverages (Production/Distribution),David Perdue
Industrial Machinery/Components,David Perdue
Beverages (Production/Distribution),David Perdue
Integrated oil Companies,David Perdue
Newspapers/Magazines,David Perdue
Medical/Dental Instruments,David Perdue
Computer Software: Prepackaged Software,David Perdue
Broadcasting,David Perdue
Major Banks,David Perdue
Transportation Services,David Perdue
Medical Specialities,David Perdue
Food Distributors,David Perdue
Rental/Leasing Companies,David Perdue
Plastic Products,David Perdue
Paper,David Perdue
Oil & Gas Production,David Perdue
EDP Services,David Perdue
Integrated oil Companies,David Perdue
Major Banks,David Perdue
Agricultural Chemicals,David Perdue
Oil & Gas Production,David Perdue
Air Freight/Delivery Services,David Perdue
Newspapers/Magazines,David Perdue
