id,ticker,ticker_data
481,GEL,481
482,CDLX,482
483,VOD,483
484,ROST,484
485,LULU,485
486,AZO,486
487,IR,487
488,FNKO,488
489,EEFT,489
490,ORLY,490
491,ROKU,491
492,DCP,492
493,WES,493
494,DHR,494
495,ENTG,495
496,KSS,496
497,BFAM,497
498,IP,498
499,PPL,499
500,AM,500
501,IVZ,501
502,TWO,502
503,EXC,503
504,CVET,504
505,AKAM,505
506,FRT,506
507,ABB,507
508,SMG,508
509,HBAN,509
510,VGR,510
511,INFY,511
512,TOT,512
513,SHW,513
514,ISRG,514
515,LH,515
516,KDP,516
517,SRE,517
518,LVS,518
519,GDDY,519
520,DE,520
521,CCI,521
522,ASML,522
523,AZN,523
524,BIIB,524
525,HAS,525
526,XLNX,526
527,IQV,527
528,ADI,528
529,CHTR,529
530,LYB,530
531,MKC,531
532,AXP,532
533,EDIT,533
534,PPG,534
535,AX,535
536,KMX,536
537,TAP,537
538,BUD,538
539,UNP,539
540,COF,540
541,APTV,541
542,XPO,542
543,CFR,543
544,INCY,544
545,DISCA,545
546,CRM,546
547,ON,547
548,WAB,548
549,LEA,549
550,CUTR,550
551,CAPL,551
552,UNFI,552
553,BTO,553
554,ST,554
555,CRMT,555
556,TCMD,556
557,RCL,557
558,BOX,558
559,MGA,559
560,FE,560
561,PTEN,561
562,WEC,562
563,PAYX,563
564,FDS,564
565,ES,565
566,MS,566
567,CLB,567
568,CHK,568
569,AL,569
570,COHR,570
571,CHKP,571
572,WPC,572
573,CGNT,573
574,CERN,574
575,RYAAY,575
576,HXL,576
577,AYI,577
578,PFS,578
579,LSCC,579
580,DISH,580
581,CHRW,581
582,TMUS,582
583,MAT,583
584,HALO,584
585,WF,585
586,BIDU,586
587,SJM,587
588,CC,588
589,MCK,589
590,JKHY,590
591,PKI,591
592,NGG,592
593,BHF,593
594,HRL,594
595,NPK,595
596,RHI,596
597,WLK,597
598,FLR,598
599,TUP,599
600,TEVA,600
601,SNY,601
602,SABR,602
603,PDM,603
604,MDC,604
605,MTB,605
606,ETR,606
607,CMA,607
608,BGS,608
609,APA,609
610,LB,610
611,NXPI,611
612,WOOF,612
613,SYF,613
614,FL,614
615,YUMC,615
616,YUM,616
617,ARW,617
618,PRGO,618
619,SRCL,619
620,ZBH,620
621,ZNGA,621
622,VSAT,622
623,VLO,623
624,JWN,624
625,AMG,625
626,MDU,626
627,SE,627
628,ASIX,628
629,HSBC,629
630,WCN,630
631,AEE,631
632,TM,632
633,CMI,633
634,ADT,634
635,AAN,635
636,SWN,636
637,NCR,637
638,IONS,638
639,LNT,639
640,LQDT,640
641,DISCK,641
642,NWN,642
643,FANG,643
644,GPRO,644
645,ALTR,645
646,PCAR,646
647,DTE,647
648,CMRE,648
649,TXRH,649
650,TTC,650
651,THS,651
652,THRM,652
653,TECH,653
654,TCBI,654
655,SXT,655
656,SWI,656
657,SSB,657
658,SPSC,658
659,SMTC,659
660,SIGI,660
661,SHOO,661
662,ROLL,662
663,RBA,663
664,PRLB,664
665,PRIM,665
666,PRAA,666
667,PRA,667
668,POWI,668
669,PLT,669
670,PEB,670
671,PBH,671
672,OMCL,672
673,NICE,673
674,MG,674
675,LSTR,675
676,LL,676
677,KWR,677
678,JJSF,678
679,ICUI,679
680,HUBG,680
681,IART,681
682,HLX,682
683,HEI,683
684,HCSG,684
685,GMED,685
686,FET,686
687,EVR,687
688,EPAY,688
689,EGBN,689
690,DRQ,690
691,CVLT,691
692,CHEF,692
693,CASY,693
694,BECN,694
695,BCPC,695
696,ATRO,696
697,ALE,697
698,AAT,698
699,AAON,699
700,NOG,700
