transaction_date,owner,ticker,asset_type,type,amount,state,industry,senator
9/2/2014,Self,IDV,,Sale (Partial),"$50,000 ",PA,,Patrick J. Toomey
9/2/2014,Self,IXP,,Purchase,"$50,000 ",PA,,Patrick J. Toomey
9/2/2014,Self,SDY,,Purchase,"$50,000 ",PA,,Patrick J. Toomey
9/2/2014,Self,AMLP,,Purchase,"$15,000 ",PA,,Patrick J. Toomey
9/2/2014,Self,DWX,,Sale (Partial),"$50,000 ",PA,,Patrick J. Toomey
9/2/2014,Self,ILF,,Purchase,"$15,000 ",PA,,Patrick J. Toomey
9/2/2014,Self,EPP,,Sale (Partial),"$15,000 ",PA,,Patrick J. Toomey
8/8/2014,Self,NKE,,Sale (Full),"$15,000 ",NJ,Shoe Manufacturing,Cory A Booker
8/8/2014,Self,IRM,,Sale (Full),"$15,000 ",NJ,Real Estate Investment Trusts,Cory A Booker
8/8/2014,Self,IBM,,Sale (Full),"$15,000 ",NJ,Computer Manufacturing,Cory A Booker
8/8/2014,Self,FB,,Sale (Full),"$15,000 ",NJ,"Computer Software: Programming, Data Processing",Cory A Booker
8/8/2014,Self,AMZN,,Sale (Full),"$15,000 ",NJ,Catalog/Specialty Distribution,Cory A Booker
8/8/2014,Self,AAPL,,Sale (Full),"$15,000 ",NJ,Computer Manufacturing,Cory A Booker
8/8/2014,Self,DISH,,Sale (Full),"$15,000 ",NJ,Telecommunications Equipment,Cory A Booker
8/8/2014,Self,AMT,,Sale (Full),"$100,000 ",NJ,Real Estate Investment Trusts,Cory A Booker
8/8/2014,Self,EBAY,,Sale (Full),"$15,000 ",NJ,Business Services,Cory A Booker
8/8/2014,Self,IRM,,Sale (Full),"$15,000 ",NJ,Real Estate Investment Trusts,Cory A Booker
8/8/2014,Self,NFLX,,Sale (Full),"$50,000 ",NJ,Consumer Electronics/Video Chains,Cory A Booker
9/2/2014,N/A,N/A,PDF Disclosed Filing,N/A,,,,Thomas R. Carper
8/26/2014,Spouse,KSU,,Sale (Full),"$50,000 ",KS,,Pat Roberts
8/26/2014,Spouse,COST,,Sale (Full),"$15,000 ",KS,Department/Specialty Retail Stores,Pat Roberts
8/26/2014,Spouse,TWTR,,Sale (Partial),"$15,000 ",KS,,Pat Roberts
8/26/2014,Spouse,BAC,,Sale (Partial),"$15,000 ",KS,Major Banks,Pat Roberts
8/26/2014,Spouse,AAPL,,Sale (Full),"$50,000 ",KS,Computer Manufacturing,Pat Roberts
8/19/2014,Joint,CELG,,Purchase,"$15,000 ",RI,,Jack Reed
8/19/2014,Self,CELG,,Purchase,"$15,000 ",RI,,Jack Reed
7/21/2014,Joint,MCHP,,Sale (Partial),"$50,000 ",RI,Semiconductors,Sheldon Whitehouse
7/21/2014,Joint,VOD,,Sale (Full),"$15,000 ",RI,Telecommunications Equipment,Sheldon Whitehouse
7/21/2014,Joint,DE,,Sale (Full),"$15,000 ",RI,Industrial Machinery/Components,Sheldon Whitehouse
7/21/2014,Joint,MDP,,Sale (Full),"$50,000 ",RI,,Sheldon Whitehouse
7/29/2014,Self,QLIK,,Purchase,"$15,000 ",RI,,Sheldon Whitehouse
7/29/2014,Self,PANW,,Purchase,"$15,000 ",RI,Computer peripheral equipment,Sheldon Whitehouse
7/29/2014,Self,LNKD,,Sale (Full),"$50,000 ",RI,,Sheldon Whitehouse
7/29/2014,Self,VOD,,Sale (Full),"$50,000 ",RI,Telecommunications Equipment,Sheldon Whitehouse
7/29/2014,Self,AXP,,Purchase,"$15,000 ",RI,Finance: Consumer Services,Sheldon Whitehouse
8/7/2014,Self,UL,,Purchase,"$15,000 ",RI,Package Goods/Cosmetics,Sheldon Whitehouse
8/7/2014,Self,KORS,,Purchase,"$15,000 ",RI,,Sheldon Whitehouse
8/14/2014,Self,GPRO,,Purchase,"$15,000 ",RI,Industrial Machinery/Components,Sheldon Whitehouse
7/25/2014,Spouse,RYAM,,Sale (Full),"$15,000 ",ME,Industrial Specialties,"Angus S. King, Jr."
8/7/2014,Self,LGP,,Sale (Full),"$50,000 ",PA,,Patrick J. Toomey
7/23/2014,Spouse,LNT,,Sale (Full),"$15,000 ",ME,Power Generation,Susan M. Collins
7/23/2014,Spouse,ARE,,Sale (Full),"$15,000 ",ME,Real Estate Investment Trusts,Susan M. Collins
